id,nombre,provincia_id,centroide_lat,centroide_lon
6021010000,ALBERTI,6,-35.03307343,-60.28061973
6021020000,CORONEL SEGUI,6,-34.868119,-60.39397088
6021030000,MECHITA,6,-35.06801367,-60.40259716
6021040000,PLA,6,-35.12438198,-60.22006126
6021050000,VILLA GRISOLIA,6,-35.10961783,-60.07055132
6021060000,VILLA MARIA,6,-34.88812554,-60.34693856
6021070000,VILLA ORTIZ,6,-34.84353294,-60.30484986
6028010001,ADROGUE,6,-34.80155807,-58.39146772
6028010002,BURZACO,6,-34.83154159,-58.39868749
6028010003,CLAYPOLE,6,-34.80447591,-58.34478255
6028010004,DON ORIONE,6,-34.82107516,-58.3447458
6028010005,GLEW,6,-34.88601142,-58.38183018
6028010006,JOSE MARMOL,6,-34.78514425,-58.36814756
6028010007,LONGCHAMPS,6,-34.86094503,-58.38914769
6028010008,MALVINAS ARGENTINAS,6,-34.81895832,-58.42356106
6028010009,MINISTRO RIVADAVIA,6,-34.8556895,-58.36164654
6028010010,RAFAEL CALZADA,6,-34.79113675,-58.35059818
6028010011,SAN FRANCISCO SOLANO,6,-34.78667436,-58.32193635
6028010012,SAN JOSE,6,-34.76737719,-58.34327714
6035010001,AREA CINTURON ECOLOGICO,6,-34.67500565,-58.31056342
6035010002,AVELLANEDA,6,-34.66265081,-58.36569902
6035010003,CRUCESITA,6,-34.66910587,-58.35745444
6035010004,DOCK SUD,6,-34.64912669,-58.34117748
6035010005,GERLI,6,-34.68476375,-58.37260255
6035010006,PIÑEYRO,6,-34.66854979,-58.38860291
6035010007,SARANDI,6,-34.68437166,-58.34810131
6035010008,VILLA DOMINICO,6,-34.69863151,-58.33636026
6035010009,WILDE,6,-34.70615884,-58.32183492
6042010000,AYACUCHO,6,-37.15366957,-58.48954767
6042020000,LA CONSTANCIA,6,-37.22862561,-58.760389
6042030000,SOLANET,6,-36.84449844,-58.50714217
6042040000,UDAQUIOLA,6,-36.56375135,-58.53333442
6049010000,ARIEL,6,-36.53125442,-59.92006518
6049020000,AZUL,6,-36.7795145,-59.85863317
6049030000,CACHARI,6,-36.38056263,-59.50306455
6049040000,CHILLAR,6,-37.31501132,-59.98531817
6049050000,16 DE JULIO,6,-37.20205248,-60.16521392
6056010001,BAHIA BLANCA,6,-38.71140373,-62.25690895
6056010002,GRÜNBEIN,6,-38.74710795,-62.18911669
6056010003,INGENIERO WHITE,6,-38.77946704,-62.26295125
6056010004,VILLA BORDEAU,6,-38.64726051,-62.32002234
6056010005,VILLA ESPORA,6,-38.77650695,-62.18518335
6056020000,CABILDO,6,-38.48385721,-61.89260153
6056030000,GENERAL DANIEL CERRI,6,-38.71365249,-62.39242217
6063010000,BALCARCE,6,-37.84827793,-58.25516658
6063020000,LOS PINOS,6,-37.94120576,-58.32259202
6063030000,NAPALEOFU,6,-37.62549802,-58.74618624
6063040000,RAMOS OTERO,6,-37.54263537,-58.34071855
6063050000,SAN AGUSTIN,6,-38.01228386,-58.35537776
6063060000,VILLA LAGUNA LA BRAVA,6,-37.85962853,-57.98060087
6070010000,BARADERO,6,-33.81287815,-59.50430689
6070020000,IRINEO PORTELA,6,-33.98104892,-59.67156016
6070030000,SANTA COLOMA,6,-34.06215413,-59.55854206
6070040000,VILLA ALSINA,6,-33.9096038,-59.38820171
6077010000,ARRECIFES,6,-34.06459112,-60.10255644
6077020000,TODD,6,-34.03282405,-60.15622701
6077030000,VI¥A,6,-33.99227652,-60.22632112
6084010000,BARKER,6,-37.64241113,-59.38893803
6084020000,BENITO JUAREZ,6,-37.67664102,-59.80576771
6084030000,LOPEZ,6,-37.55451209,-59.62784615
6084040000,TEDIN URIBURU,6,-37.36836863,-59.76303916
6084050000,VILLA CACIQUE,6,-37.67047789,-59.40035334
6091010001,BERAZATEGUI,6,-34.75974933,-58.20196452
6091010002,BERAZATEGUI OESTE,6,-34.78042019,-58.24150103
6091010003,CARLOS TOMAS SOURIGUES,6,-34.80211922,-58.21882125
6091010004,EL PATO,6,-34.90675571,-58.1966995
6091010005,GUILLERMO ENRIQUE HUDSON,6,-34.78975949,-58.14396926
6091010006,JUAN MARIA GUTIERREZ,6,-34.83484208,-58.18190611
6091010007,PEREYRA,6,-34.84719454,-58.13927652
6091010008,PLATANOS,6,-34.76742018,-58.1652686
6091010009,RANELAGH,6,-34.79414685,-58.19898156
6091010010,VILLA ESPAÑA,6,-34.77606342,-58.2002533
6098010001,BARRIO BANCO PROVINCIA,6,-34.87525899,-57.85508567
6098010002,BARRIO EL CARMEN (ESTE),6,-34.92931022,-57.88535525
6098010003,BARRIO UNIVERSITARIO,6,-34.90275288,-57.92708843
6098010004,BERISSO,6,-34.87463537,-57.89474723
6098010005,LOS TALAS,6,-34.91902092,-57.7909955
6098010006,VILLA ARGÜELLO,6,-34.90539819,-57.91808151
6098010007,VILLA DOLORES,6,-34.88020854,-57.86630367
6098010008,VILLA INDEPENDENCIA,6,-34.88295197,-57.86148927
6098010009,VILLA NUEVA,6,-34.89570794,-57.91088166
6098010010,VILLA PORTEÑA,6,-34.89104331,-57.8963774
6098010011,VILLA PROGRESO,6,-34.93087661,-57.84687999
6098010012,VILLA SAN CARLOS,6,-34.88381308,-57.87701596
6098010013,VILLA ZULA,6,-34.92216463,-57.80096648
6105010000,HALE,6,-36.00104298,-60.85344951
6105020000,JUAN F. IBARRA,6,-36.34987705,-61.25525912
6105040000,PAULA,6,-36.50531835,-61.02432872
6105050000,PIROVANO,6,-36.51091702,-61.55455166
6105060000,SAN CARLOS DE BOLIVAR,6,-36.22956022,-61.11318987
6105070000,URDAMPILLETA,6,-36.43292924,-61.41911602
6105080000,VILLA LYNCH PUEYRREDON,6,-36.60257933,-61.36186255
6112005000,ASAMBLEA,6,-35.22675813,-60.41689528
6112010000,BRAGADO,6,-35.1189423,-60.48791476
6112020000,COMODORO PY,6,-35.32331004,-60.52173149
6112030000,GENERAL O'BRIEN,6,-34.90679791,-60.75978382
6112040000,IRALA,6,-34.77182303,-60.6916912
6112050000,LA LIMPIA,6,-35.07972727,-60.59285467
6112060000,MAXIMO FERNANDEZ,6,-35.06152467,-60.70607414
6112070000,MECHITA,6,-35.06993786,-60.40849379
6112080000,OLASCOAGA,6,-35.23752779,-60.61153417
6112090000,WARNES,6,-34.90987344,-60.53816816
6119010000,ALTAMIRANO,6,-35.3615828,-58.15048682
6119015000,BARRIO EL MIRADOR,6,-35.31453705,-58.04844208
6119020000,BARRIO LAS GOLONDRINAS,6,-35.03357778,-58.19353827
6119030000,BARRIO LOS BOSQUECITOS,6,-35.10503899,-58.18350079
6119040000,BARRIO PARQUE LAS ACACIAS,6,-35.10303295,-58.27304054
6119045000,CAMPOS DE ROCA,6,-35.11497726,-58.09538965
6119050000,CORONEL BRANDSEN,6,-35.1690983,-58.23735294
6119055000,CLUB DE CAMPO LAS MALVINAS,6,-35.21399781,-58.24330309
6119060000,GOMEZ,6,-35.06936553,-58.16568999
6119070000,JEPPENER,6,-35.28020439,-58.19966494
6119080000,OLIDEN,6,-35.18425843,-57.94796232
6119085000,POSADA DE LOS LAGOS,6,-35.1499384,-58.05045287
6119090000,SAMBOROMBON,6,-35.22062427,-58.28052979
6126010000,ALTO LOS CARDALES,6,-34.31602437,-58.97845748
6126020000,BARRIO LOS PIONEROS,6,-34.25304064,-58.95844004
6126030000,CAMPANA,6,-34.16396181,-58.9588741
6126035000,CHACRAS DEL RIO LUJAN,6,-34.29341532,-58.92119904
6126040000,LOMAS DEL RIO LUJAN,6,-34.28167706,-58.89119065
6134010000,ALEJANDRO PETION,6,-34.97937685,-58.67494308
6134020000,BARRIO EL TALADRO,6,-35.07424862,-58.86324206
6134030000,CA¥UELAS,6,-35.05271404,-58.7583857
6134040000,GOBERNADOR UDAONDO,6,-35.30032711,-58.59430537
6134050001,BARRIO BELGRANO,6,-34.90229416,-58.64790102
6134050002,MAXIMO PAZ,6,-34.93645631,-58.6143958
6134060000,SANTA ROSA,6,-34.96118394,-58.73089183
6134070000,URIBELARREA,6,-35.12273644,-58.89048715
6134080000,VICENTE CASARES,6,-34.96535267,-58.65049796
6140010000,CAPITAN SARMIENTO,6,-34.17236743,-59.78934914
6140020000,LA LUISA,6,-34.12855721,-59.92400583
6147010000,BELLOCQ,6,-35.91897056,-61.53126302
6147020000,CADRET,6,-35.77275314,-61.33538798
6147030000,CARLOS CASARES,6,-35.6235435,-61.36531591
6147040000,COLONIA MAURICIO,6,-35.52495955,-61.43786708
