Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,8.625,8.25,8.5625,8.4375,149600.0,7.20659875869751
2000-01-04,8.5625,8.125,8.375,8.5625,140100.0,7.313364028930664
2000-01-05,8.75,8.125,8.625,8.3125,199900.0,7.099833965301514
2000-01-06,8.75,8.3125,8.3125,8.5,216200.0,7.259981632232666
2000-01-07,8.8125,8.5,8.5625,8.75,164900.0,7.4735107421875
2000-01-10,8.625,8.375,8.625,8.5,107300.0,7.259981632232666
2000-01-11,8.6875,8.3125,8.375,8.625,80900.0,7.36674690246582
2000-01-12,8.6875,8.1875,8.625,8.1875,186600.0,6.993072032928467
2000-01-13,8.4375,8.3125,8.4375,8.4375,153100.0,7.20659875869751
2000-01-14,8.8125,8.3125,8.375,8.6875,391900.0,7.42012882232666
2000-01-18,9.3125,8.6875,8.9375,9.3125,449100.0,7.953949928283691
2000-01-19,9.625,8.75,9.375,9.125,490600.0,7.793805122375488
2000-01-20,9.0,8.6875,9.0,9.0,279300.0,7.687037944793701
2000-01-21,9.4375,9.0,9.0,9.4375,449000.0,8.060715675354004
2000-01-24,10.1875,9.4375,9.4375,9.5,390900.0,8.11409854888916
2000-01-25,9.875,9.375,9.625,9.75,208800.0,8.327625274658203
2000-01-26,10.1875,9.8125,10.125,9.8125,331700.0,8.381011009216309
2000-01-27,9.875,8.8125,9.8125,8.8125,215000.0,7.526891231536865
2000-01-28,9.125,8.625,8.875,8.625,190000.0,7.36674690246582
2000-01-31,8.8125,8.5625,8.625,8.5625,164200.0,7.313364028930664
2000-02-01,8.9375,8.4375,8.625,8.9375,134100.0,7.633658409118652
2000-02-02,9.5,9.0,9.0,9.3125,232100.0,7.953949928283691
2000-02-03,9.4375,8.75,9.4375,9.0,137100.0,7.687037944793701
2000-02-04,9.25,8.5625,9.125,8.875,99400.0,7.5802741050720215
2000-02-07,8.9375,8.3125,8.9375,8.6875,133900.0,7.42012882232666
2000-02-08,8.6875,8.3125,8.6875,8.375,189200.0,7.153217792510986
2000-02-09,8.375,8.125,8.375,8.125,108500.0,6.9396891593933105
2000-02-10,8.375,7.9375,8.0625,8.3125,155800.0,7.099833965301514
2000-02-11,8.3125,8.0,8.3125,8.125,154300.0,6.9396891593933105
2000-02-14,8.0625,7.75,8.0,7.875,206900.0,6.726160526275635
2000-02-15,8.125,7.75,8.0,8.0625,665400.0,6.886308193206787
2000-02-16,8.0,7.6875,8.0,7.75,617200.0,6.619396686553955
2000-02-17,7.9375,7.5,7.8125,7.6875,211200.0,6.566012859344482
2000-02-18,7.8125,6.75,7.75,6.875,630400.0,5.872045516967773
2000-02-22,7.6875,7.0625,7.125,7.4375,411400.0,6.352484703063965
2000-02-23,7.875,7.25,7.625,7.6875,468400.0,6.566012859344482
2000-02-24,7.75,7.4375,7.5625,7.75,273800.0,6.619396686553955
2000-02-25,7.9375,7.375,7.6875,7.4375,210700.0,6.352484703063965
2000-02-28,7.75,7.1875,7.25,7.6875,146600.0,6.566012859344482
2000-02-29,8.375,7.5,7.625,8.3125,363300.0,7.099833965301514
2000-03-01,9.0,7.875,8.1875,8.4375,387800.0,7.20659875869751
2000-03-02,8.8125,8.25,8.3125,8.75,385300.0,7.4735107421875
2000-03-03,8.75,8.1875,8.6875,8.1875,217400.0,6.993072032928467
2000-03-06,8.5,8.1875,8.3125,8.375,200300.0,7.153217792510986
2000-03-07,9.5625,8.3125,8.3125,9.0625,551500.0,7.740423679351807
2000-03-08,9.125,8.6875,9.0,9.125,383800.0,7.793805122375488
2000-03-09,9.5,8.875,9.125,9.4375,337800.0,8.060715675354004
2000-03-10,9.6875,8.9375,9.4375,8.9375,184000.0,7.633658409118652
2000-03-13,9.1875,8.4375,9.1875,8.4375,111500.0,7.20659875869751
2000-03-14,9.125,8.5625,8.5625,8.75,205100.0,7.4735107421875
2000-03-15,8.9375,8.3125,8.75,8.5625,296100.0,7.313364028930664
2000-03-16,9.25,8.5625,8.75,9.25,218400.0,7.900567531585693
2000-03-17,9.25,8.625,8.625,9.0,384900.0,7.687037944793701
2000-03-20,9.125,8.5625,9.125,8.8125,190400.0,7.526891231536865
2000-03-21,9.125,8.6875,8.8125,9.0,232400.0,7.687037944793701
