Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,19.5,19.0,19.5,19.0625,1233200.0,10.846353530883789
2000-01-04,19.15625,18.4375,18.75,18.46875,1054200.0,10.508512496948242
2000-01-05,19.09375,18.5,18.5,18.625,1334200.0,10.631958961486816
2000-01-06,19.5,18.375,18.5,19.40625,1557400.0,11.07792854309082
2000-01-07,19.46875,19.09375,19.40625,19.4375,1157400.0,11.0957670211792
2000-01-10,19.5,19.0625,19.46875,19.5,1400200.0,11.131440162658691
2000-01-11,19.5625,19.3125,19.4375,19.5,1363600.0,11.131440162658691
2000-01-12,20.375,19.5,19.5,20.21875,1722600.0,11.541740417480469
2000-01-13,20.1875,19.84375,20.0,20.0625,829800.0,11.452548027038574
2000-01-14,20.28125,19.625,20.28125,19.6875,1239200.0,11.238478660583496
2000-01-18,19.65625,19.46875,19.625,19.5625,844000.0,11.167128562927246
2000-01-19,19.5625,19.0625,19.5,19.09375,884600.0,10.899539947509766
2000-01-20,19.21875,17.9375,19.21875,18.0,1828000.0,10.275182723999023
2000-01-21,17.9375,17.5,17.5625,17.75,2703000.0,10.132469177246094
2000-01-24,18.59375,16.9375,18.4375,17.0,2744200.0,9.704334259033203
2000-01-25,17.625,17.0625,17.09375,17.21875,2003400.0,9.829209327697754
2000-01-26,17.65625,17.1875,17.25,17.46875,1293600.0,9.971918106079102
2000-01-27,17.90625,17.03125,17.46875,17.25,1386000.0,9.84704875946045
2000-01-28,17.125,16.6875,17.0,17.03125,1614600.0,9.722172737121582
2000-01-31,17.78125,16.84375,17.03125,17.78125,1582400.0,10.150304794311523
2000-02-01,17.65625,17.28125,17.65625,17.625,2481800.0,10.061115264892578
2000-02-02,18.4375,17.65625,17.875,17.6875,2060000.0,10.096789360046387
2000-02-03,17.59375,17.0,17.5625,17.21875,2103600.0,9.829209327697754
2000-02-04,17.1875,16.8125,17.09375,16.875,1121400.0,9.632983207702637
2000-02-07,16.59375,16.15625,16.5,16.34375,2348200.0,9.329719543457031
2000-02-08,16.5,16.125,16.46875,16.375,1919400.0,9.347558975219727
2000-02-09,16.4375,16.125,16.375,16.40625,2264200.0,9.365396499633789
2000-02-10,16.6875,16.3125,16.40625,16.53125,2312000.0,9.436752319335938
2000-02-11,16.65625,16.15625,16.625,16.40625,1191200.0,9.365396499633789
2000-02-14,16.5,16.1875,16.28125,16.40625,953400.0,9.365396499633789
2000-02-15,16.9375,16.53125,16.53125,16.84375,1353400.0,9.615144729614258
2000-02-16,17.34375,16.5,16.84375,17.15625,1615200.0,9.793529510498047
2000-02-17,17.53125,16.8125,17.03125,17.53125,1875000.0,10.007596969604492
